census_chapter,census_table,census_row,census_column,sector_desc,short_desc,commodity_desc,agg_level_desc,state_fips_code,state_alpha,state_name,county_code,county_name,domaincat_desc,value
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,13,GA,GEORGIA,,,,"3,631,877"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,39,OH,OHIO,,,,"72,398"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,9,CT,CONNECTICUT,,,,"213,985"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,12,FL,FLORIDA,,,,"3,615,319"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,40,OK,OKLAHOMA,,,,"72,234"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,16,ID,IDAHO,,,,"5,665,398"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,10,DE,DELAWARE,,,,"187,769"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,15,HI,HAWAII,,,,"347,305"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,17,IL,ILLINOIS,,,,"8,783,539"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,18,IN,INDIANA,,,,"5,873,818"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,21,KY,KENTUCKY,,,,"5,223,082"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,20,KS,KANSAS,,,,"19,643,906"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,19,IA,IOWA,,,,"14,057,276"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,22,LA,LOUISIANA,,,,"2,967,027"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,42,PA,PENNSYLVANIA,,,,"49,448"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,23,ME,MAINE,,,,"727,224"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,24,MD,MARYLAND,,,,"791,732"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,41,OR,OREGON,,,,"33,113"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,44,RI,RHODE ISLAND,,,,929
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,45,SC,SOUTH CAROLINA,,,,"22,412"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,46,SD,SOUTH DAKOTA,,,,"28,290"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,50,VT,VERMONT,,,,"6,004"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,47,TN,TENNESSEE,,,,"64,808"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,49,UT,UTAH,,,,"17,122"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,48,TX,TEXAS,,,,"224,776"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,53,WA,WASHINGTON,,,,"31,566"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,51,VA,VIRGINIA,,,,"39,148"
2,46,1,2,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF PRODUCERS",PRODUCERS,STATE,1,AL,ALABAMA,,,,"42,541"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,55,WI,WISCONSIN,,,,"60,818"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,56,WY,WYOMING,,,,"10,889"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,54,WV,WEST VIRGINIA,,,,"21,679"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,5,AR,ARKANSAS,,,,"13,398,160"
2,46,1,2,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF PRODUCERS",PRODUCERS,STATE,2,AK,ALASKA,,,,916
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,2,AK,ALASKA,,,,"561,674"
2,46,1,2,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF PRODUCERS",PRODUCERS,STATE,4,AZ,ARIZONA,,,,"16,828"
2,46,1,2,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF PRODUCERS",PRODUCERS,STATE,5,AR,ARKANSAS,,,,"44,854"
2,46,1,2,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF PRODUCERS",PRODUCERS,STATE,6,CA,CALIFORNIA,,,,"78,170"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,4,AZ,ARIZONA,,,,"22,792,454"
2,46,1,2,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF PRODUCERS",PRODUCERS,STATE,8,CO,COLORADO,,,,"40,193"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,1,AL,ALABAMA,,,,"37,668"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,2,AK,ALASKA,,,,813
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,4,AZ,ARIZONA,,,,"13,856"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,5,AR,ARKANSAS,,,,"39,573"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,6,CA,CALIFORNIA,,,,"63,242"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,8,CO,COLORADO,,,,"34,426"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,9,CT,CONNECTICUT,,,,"4,731"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,10,DE,DELAWARE,,,,"2,113"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,12,FL,FLORIDA,,,,"41,074"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,13,GA,GEORGIA,,,,"38,817"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,6,CA,CALIFORNIA,,,,"23,270,321"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,8,CO,COLORADO,,,,"30,271,811"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,9,CT,CONNECTICUT,,,,"357,519"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,10,DE,DELAWARE,,,,"517,095"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,12,FL,FLORIDA,,,,"9,354,132"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,13,GA,GEORGIA,,,,"9,508,155"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,15,HI,HAWAII,,,,"1,056,920"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,16,ID,IDAHO,,,,"11,385,009"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,17,IL,ILLINOIS,,,,"26,461,764"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,18,IN,INDIANA,,,,"14,680,162"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,19,IA,IOWA,,,,"29,774,021"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,20,KS,KANSAS,,,,"44,530,498"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,21,KY,KENTUCKY,,,,"12,469,433"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,22,LA,LOUISIANA,,,,"7,731,824"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,23,ME,MAINE,,,,"1,241,274"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,24,MD,MARYLAND,,,,"1,907,095"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,25,MA,MASSACHUSETTS,,,,"449,801"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,26,MI,MICHIGAN,,,,"9,519,771"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,27,MN,MINNESOTA,,,,"25,044,003"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,28,MS,MISSISSIPPI,,,,"9,934,045"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,29,MO,MISSOURI,,,,"26,862,447"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,30,MT,MONTANA,,,,"56,132,614"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,31,NE,NEBRASKA,,,,"43,950,025"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,32,NV,NEVADA,,,,"5,918,919"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,33,NH,NEW HAMPSHIRE,,,,"385,690"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,34,NJ,NEW JERSEY,,,,"693,982"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,35,NM,NEW MEXICO,,,,"37,760,656"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,36,NY,NEW YORK,,,,"6,621,408"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,37,NC,NORTH CAROLINA,,,,"8,129,293"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,38,ND,NORTH DAKOTA,,,,"38,491,408"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,39,OH,OHIO,,,,"13,581,651"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,40,OK,OKLAHOMA,,,,"32,732,853"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,41,OR,OREGON,,,,"15,214,002"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,42,PA,PENNSYLVANIA,,,,"7,042,576"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,44,RI,RHODE ISLAND,,,,"53,317"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,45,SC,SOUTH CAROLINA,,,,"4,532,571"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,46,SD,SOUTH DAKOTA,,,,"42,299,256"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,47,TN,TENNESSEE,,,,"10,443,220"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,48,TX,TEXAS,,,,"121,272,481"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,49,UT,UTAH,,,,"10,535,984"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,50,VT,VERMONT,,,,"1,126,746"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,51,VA,VIRGINIA,,,,"7,401,257"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,53,WA,WASHINGTON,,,,"14,246,448"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,54,WV,WEST VIRGINIA,,,,"3,456,147"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,55,WI,WISCONSIN,,,,"14,010,330"
2,46,1,3,DEMOGRAPHICS,"PRODUCERS, MALE - ACRES OPERATED",PRODUCERS,STATE,56,WY,WYOMING,,,,"27,836,640"
2,46,1,4,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF OPERATIONS","PRODUCERS, PRINCIPAL",STATE,1,AL,ALABAMA,,,,"36,215"
2,46,1,4,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF OPERATIONS","PRODUCERS, PRINCIPAL",STATE,48,TX,TEXAS,,,,"215,390"
2,46,1,4,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF OPERATIONS","PRODUCERS, PRINCIPAL",STATE,49,UT,UTAH,,,,"16,478"
2,46,1,4,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF OPERATIONS","PRODUCERS, PRINCIPAL",STATE,50,VT,VERMONT,,,,"5,567"
2,46,1,4,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF OPERATIONS","PRODUCERS, PRINCIPAL",STATE,51,VA,VIRGINIA,,,,"37,027"
2,46,1,4,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF OPERATIONS","PRODUCERS, PRINCIPAL",STATE,53,WA,WASHINGTON,,,,"29,415"
2,46,1,4,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF OPERATIONS","PRODUCERS, PRINCIPAL",STATE,54,WV,WEST VIRGINIA,,,,"20,695"
2,46,1,4,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF OPERATIONS","PRODUCERS, PRINCIPAL",STATE,55,WI,WISCONSIN,,,,"58,801"
2,46,1,4,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF OPERATIONS","PRODUCERS, PRINCIPAL",STATE,56,WY,WYOMING,,,,"10,297"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,1,AL,ALABAMA,,,,"38,670"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,2,AK,ALASKA,,,,757
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,4,AZ,ARIZONA,,,,"13,236"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,5,AR,ARKANSAS,,,,"40,773"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,6,CA,CALIFORNIA,,,,"66,781"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,8,CO,COLORADO,,,,"35,334"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,9,CT,CONNECTICUT,,,,"4,729"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,10,DE,DELAWARE,,,,"2,214"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,12,FL,FLORIDA,,,,"41,095"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,13,GA,GEORGIA,,,,"39,840"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,15,HI,HAWAII,,,,"6,260"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,16,ID,IDAHO,,,,"24,201"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,17,IL,ILLINOIS,,,,"74,443"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,18,IN,INDIANA,,,,"56,578"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,19,IA,IOWA,,,,"84,809"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,20,KS,KANSAS,,,,"57,356"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,21,KY,KENTUCKY,,,,"73,677"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,22,LA,LOUISIANA,,,,"25,834"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,23,ME,MAINE,,,,"6,440"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,24,MD,MARYLAND,,,,"11,211"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,25,MA,MASSACHUSETTS,,,,"6,016"
2,46,1,5,DEMOGRAPHICS,"PRODUCERS, PRINCIPAL, MALE - NUMBER OF PRODUCERS","PRODUCERS, PRINCIPAL",STATE,26,MI,MICHIGAN,,,,"45,860"
